Index,FileName,ImgLink,Brand,brandLink,Class,imgText
1,21_H1_Sustainability_Landing_header_cms_desktop_-2.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F21_H1_Sustainability_Landing_header_cms_desktop_-2.jpeg?v=1637308810220,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Jaden Smith wearing Levi's jeans
2,21_H1_Sustainability_Landing_image1_cms_desktop_ 2-2.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F21_H1_Sustainability_Landing_image1_cms_desktop_%202-2.jpeg?v=1637308814627,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",A closeup of Levi's denim
3,21_H1_Sustainability_Landing_image5_cms_desktop_-2.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F21_H1_Sustainability_Landing_image5_cms_desktop_-2.jpeg?v=1637308817319,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",A closeup of Levi's denim
4,22_H1_Monthly_Muse_NOV_BLG_IMG6.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F22_H1_Monthly_Muse_NOV_BLG_IMG6.jpeg?v=1637308820896,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's jeans are built to be lived in
5,178470008-side-pdp.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F178470008-side-pdp.jpeg?v=1637308832716,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's denim
6,Image1-2.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FImage1-2.jpeg?v=1637308837602,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's jeans are built to be lived in
7,Image2-3.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FImage2-3.jpeg?v=1637308844017,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's denim is made for the conscious wearer
8,Nigel_Sylvester_App_Exclusive_5050_4.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FNigel_Sylvester_App_Exclusive_5050_4.jpeg?v=1637308848388,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's jeans are built to be lived in
9,X_Creative_Copy_5050.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FX_Creative_Copy_5050.jpeg?v=1637308852292,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's denim is made for the conscious wearer
10,Xiuhtexcatl App Exclusive_51.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FXiuhtexcatl%20App%20Exclusive_51.jpeg?v=1637308856717,Levi's,https://www.levi.com/US/en_US/,"jeans, denim, levis, Levis, Levi's, levi's",Levi's denim is made for the conscious wearer
11,02-IFONLYIF-AW-HR-20201014-1-scaled-768x1152.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F02-IFONLYIF-AW-HR-20201014-1-scaled-768x1152.jpeg?v=1637829921104,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, childrens, nightgown, dress, ifOnlyIf, ifonlyif",Who said nightgowns weren't for kids too?
12,Charlotte-Darcie-Pandora-9-768x1174.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCharlotte-Darcie-Pandora-9-768x1174.jpeg?v=1637829938112,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, childrens, nightgown, dress, ifOnlyIf, ifonlyif",Who said nightgowns weren't for kids too?
13,Mya-Nina-1-768x1148.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMya-Nina-1-768x1148.jpeg?v=1637829949187,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, slip, ifOnlyIf, ifonlyif","Gowns from If Only If, perfect for gazing into picturesque scenes in your backyard"
14,53-IFONLYIF-AW-HR-20201014-scaled-768x1152.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F53-IFONLYIF-AW-HR-20201014-scaled-768x1152.jpeg?v=1637829924565,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, ifOnlyIf, ifonlyif","Gowns from If Only If, perfect for gazing into picturesque scenes in your backyard"
15,emily-scaled-768x1024.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Femily-scaled-768x1024.jpeg?v=1637829940272,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, ifOnlyIf, ifonlyif",A closeup of dresses from If Only If
16,Mya-Charlotte-Pandora-3-768x514.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMya-Charlotte-Pandora-3-768x514.jpeg?v=1637829942229,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, ifOnlyIf, ifonlyif",A warm summer's day with If Only If
17,Mya-Charlotte-Pandora-28-768x1153.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMya-Charlotte-Pandora-28-768x1153.jpeg?v=1637829944300,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, ifOnlyIf, ifonlyif",A warm summer's day with If Only If
18,Charlotte-Darcie-Jessie-Florrie-1-768x1152.jpg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCharlotte-Darcie-Jessie-Florrie-1-768x1152.jpg?v=1637829930819,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, childrens, nightgown, dress, ifOnlyIf, ifonlyif",Who said nightgowns weren't for kids too?
19,Charlotte-Anna-11-768x1148.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCharlotte-Anna-11-768x1148.jpeg?v=1637829927606,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, robe, ifOnlyIf, ifonlyif",Lounging in an If Only If gown
20,Mya-Emily-Ivory-11-768x1038.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMya-Emily-Ivory-11-768x1038.jpeg?v=1637829946641,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, ifOnlyIf, ifonlyif",Lounging in an If Only If gown
21,1018_FIDO_POLKA_PAW__014_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F1018_FIDO_POLKA_PAW__014_2048x.jpeg?v=1637829796231,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, dog, pets, dl1961, DL1961, inclusivesizing, inclusive",DL 1961 makes denim garments for fido too!
22,11202_Jay_JetBlack_037_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F11202_Jay_JetBlack_037_2048x.jpeg?v=1637829835771,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, pants, dl1961, DL1961, inclusivesizing, inclusive","The average pair of jeans requires 1,500 gallons of water to produce. DL1961 says its average pair only requires less than 10 gallons!"
